id,commande_id,article_id,article_nom,quantite,prix_unitaire,sous_total,created_at
f5def481-615d-4399-bf71-211b8e60c193,8000a691-9bca-40cd-b91d-155a4a1f71af,jupe_mariage,Jupe mariage,2,22.00,44.00,2026-03-20 21:28:22.545182+00
7ecfebfc-a0ec-46ce-8b93-35976ed8dc69,8000a691-9bca-40cd-b91d-155a4a1f71af,voile_mariage,Voile mariage,3,11.00,33.00,2026-03-20 21:28:22.545182+00
b480d900-4962-4cbb-9dc2-f178cfb59110,8000a691-9bca-40cd-b91d-155a4a1f71af,veste_travail,Veste travail,1,3.80,3.80,2026-03-20 21:28:22.545182+00
7fed89a9-df37-4069-acda-a4ba539b9282,8000a691-9bca-40cd-b91d-155a4a1f71af,blouse_travail,Blouse travail,2,4.70,9.40,2026-03-20 21:28:22.545182+00
6162aa71-9c0e-4981-a7ae-9e142b60a282,6c7eaabd-7032-4e68-81a4-5499c0c639ca,couverture_epaisse,Couverture epaisse,1,21.00,21.00,2026-03-21 09:27:23.662793+00
3114efc0-d84b-4b10-b7a7-ef4044f449e0,30dd4b21-d822-41a4-89ed-946d8acffb21,jupe_simple,Jupe simple,1,12.45,12.45,2026-03-21 10:13:56.313204+00
73d3ae5c-d21c-41c5-9d30-722862300020,9b2adff2-594f-42ee-9078-5351fbae409f,chemise,Chemise,1,6.75,6.75,2026-03-21 10:22:04.176707+00
d1bd620a-c22f-4fbf-853c-ca9c669c0193,e27c2c2c-3fd5-47fa-8cd5-976d8502139c,chemise,Chemise,2,6.75,13.50,2026-03-21 10:22:49.937915+00
8ffd42ed-fd53-4835-81ca-eab331df94ce,7091a216-258e-4b33-9e26-217a53e2e877,chemise,Chemise,3,6.75,20.25,2026-03-21 10:36:05.763459+00
df9c7bf7-b6d6-4d7e-a1d2-47bf041b9105,89c9de28-3a9d-4eb1-b6e0-09c9eb81ea7b,jupe_simple,Jupe simple,1,12.45,12.45,2026-03-21 10:38:44.30079+00
